URLink,Date,Relation,Occasion,ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,175,external,PER-1027,"
																					Motichoor Ladoos with T Light										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,1299,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/c/m/cm03gbgt0409-0.jpg,,,,,,,https://www.giftcart.com/motichur-ladoos-with-t-light.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,176,external,PER-1028,"
																					Personalised Family Fridge Magnet - Pink										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,300,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/c/m/cm01gbgt0233.jpg,,,,,,,https://www.giftcart.com/family-fridge-magnet-pink.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,177,external,PER-1029,"
																					Glorious Peacock Dance satin Cushions										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,449,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/c/m/cm08gbgt47751-white1.jpg,,,,,,,https://www.giftcart.com/glorious-peacock-dance-satin-cushion.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,178,external,PER-1030,"
																					Personalised Choco Bar For Mother Day										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,449,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/c/p/cp-cm01gbgt0147.jpg,,,,,,,https://www.giftcart.com/personalised-chocolate-for-mother-day.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,179,external,PER-1031,"
																					Make A Promise Trendy Blue Topaz & 925 Sterling Silver Pendant with 18 ...										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,3114,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/s/d/sdp387.jpg,,,,,,,https://www.giftcart.com/make-a-promise-trendy-blue-topaz-&-925-sterling-silver-pendant-with-18-silver-finished-chain-kv-10.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,180,external,PER-1032,"
																					Letter for Dear Mom										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,799,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/c/o/co-cm01gbgt0238-0.jpg,,,,,,,https://www.giftcart.com/letter-for-dear-mom.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,181,external,PER-1033,"
																					Armaf Club De Nuit Intense 105 Ml Edt For Women Perfume										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,1668,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/a/r/arc105w06.jpg,,,,,,,https://www.giftcart.com/armaf-club-de-nuit-intense-105-ml-edt-for-women-perfume.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,182,external,PER-1034,"
																					Personalised Glowing Tower Lamp With Wooden Base										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,1899,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/c/o/co-cm05gbgt4527.jpg,,,,,,,https://www.giftcart.com/personalised-glowing-tower-lamp-with-wooden-base.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,183,external,PER-1035,"
																					Personalised Happy Birthday - Unique Gift Plaque										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,390,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/c/m/cm01igif0035-0.jpg,,,,,,,https://www.giftcart.com/happy-birthday-unique-gift-plaque.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,184,external,PER-1036,"
																					Jade Plant In A Vase										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,649,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/c/m/cm01plfnp058.jpg.jpg,,,,,,,https://www.giftcart.com/jade-plant-in-a-vase.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,185,external,PER-1037,"
																					Solo Tahitian Pearl Bracelet
										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,1900,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/6/l/6l3a4614.jpg,,,,,,,https://www.giftcart.com/solo-tahitian-pearl-bracelet.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,186,external,PER-1038,"
																					Personalised Wooden Photo Lamp										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,1399,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/c/o/co-cm01gbgt1552-3.jpg,,,,,,,https://www.giftcart.com/personalised-wooden-photo-lamp.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,187,external,PER-1039,"
																					My Lingo Cushion										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,349,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/c/m/cm08gbgt47312-1.jpg,,,,,,,https://www.giftcart.com/my-lingo-cushion.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,188,external,PER-1040,"
																					Set Of 2 Couple Love Champange Glasses										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,1299,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/8/0/800-1.jpg,,,,,,,https://www.giftcart.com/set-of-2-couple-love-champange-glasses.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,189,external,PER-1041,"
																					Jack Daniels Bottle Serving Set										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,999,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/c/m/cm08gbgt48767-1.jpg,,,,,,,https://www.giftcart.com/jack-daniels-bottle-serving-set.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,190,external,PER-1042,"
																					40th Wedding Anniversary Round Acrylic Clock										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,599,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/c/m/cm08gbgt48983-2.jpg,,,,,,,https://www.giftcart.com/40th-wedding-anniversary-round-acrylic-clock.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,191,external,PER-1043,"
																					Mom The Best Personalised Choco Bar										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,349,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/c/o/co-cm06gbgt3685-main.jpg,,,,,,,https://www.giftcart.com/mom-the-best-personalised-chocolate-bar.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,192,external,PER-1044,"
																					Lovance Magic Touch 100 ml Women EDP										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,778,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/c/m/cm01per0289-0.jpg,,,,,,,https://www.giftcart.com/lovance-magic-touch-100-ml-women-edp.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,193,external,PER-1045,"
																					Octavius Gourmet Tea Collection| Tealightful Infusions Range - 3 Tins Packe...										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,1310,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/o/g/ogt-tir3.jpg,,,,,,,https://www.giftcart.com/octavius-gourmet-tea-collection-tealightful-infusions-range-3-tins-packed-in-an-exclusive-gift-box.html,Get it Now,,Product Type,Personalized,1,0
https://www.giftcart.com/all-gifts/dad.html,26-Jun,Dad,,194,external,PER-1046,"
																					Vintage Noel Retro Toy Christmas Cushion										",1,0,visible,,,,,,,1,,,0,0,,,,,0,,,299,Dad,Best Gifts for Dad,,https://www.giftcart.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/c/m/cm08gbgt48084-01.jpg,,,,,,,https://www.giftcart.com/vintage-noel-retro-toy-christmas-cushion.html,Get it Now,,Product Type,Personalized,1,0
